pokemon_ability_id,short_effect,language,effect
1,Mit jedem Treffer besteht eine 10% Chance das Ziel zurückschrecken zu lassen.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Attacken die Schaden verursachen haben mit jedem Treffer eine 10% Chance das Ziel zurückschrecken zu lassen, wenn die Attacke dies nicht bereits als Nebeneffekt hat. Der Effekt stapelt nicht mit dem von getragenen Items. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen wilde Pokémon nur halb so oft auf."
1,Has a 10% chance of making target Pokémon flinch with each hit.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect. This ability does not stack with a held item. Overworld: The wild encounter rate is halved while this Pokémon is first in the party.
2,Ändert beim Betreten des Kampfes das weather in rain.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Das weather ändert sich zu rain wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das weather geändert wird. Wenn mehrere Pokémon mit dieser Fähigkeit, drought, sand stream oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room."
2,Summons rain that lasts indefinitely upon entering battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition. If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room. Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay."
3,Steigert die speed um 1 Stufe nach jeder Runde.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Die speed des Pokémon erhöht sich jede Runde um 1 Stufe.
3,Raises Speed one stage after each turn.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's Speed rises one stage after each turn.
4,Schützt vor kritischen Treffern.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Attacken können keinen kritischen Treffer landen. Diese Fähigkeit ist identisch mit shell armor.
4,Protects against critical hits.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Moves cannot score critical hits against this Pokémon. This ability functions identically to shell armor.
5,"Verhindert K.O.-Treffer bei vollen hp, das Pokémon behält 1 hp. Schützt gegen K.O.-Attacken.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn das Pokémon volle hp hat, lässt jeder Treffer der das Pokémon besiegt hätte ein hp übrig. Das Pokémon ist immun gegen die K.O.-Attacken fissure, guillotine, horn drill und sheer cold. Hält das Pokémon ein focus sash, hat die Fähigkeit Vorrang und das Item wird nicht verbraucht."
5,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP. Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold. If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed."
6,"Verhindert self destruct, explosion und aftermath.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, schlagen die Attacken self destruct und explosion fehl und aftermath hat keinen Effekt."
6,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect."
7,Verhindert paralysis.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann nicht paralysiert werden. Wenn ein paralysiertes Pokémon diese Fähigkeit erhält, wird es von der paralysis geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein."
7,Prevents paralysis.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be paralyzed. If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle."
